"","date","province","vaxPop","secondVaxPop","firstJabs","secondJabs","jabs","eli_pop","pop","province2"
"1",2021-09-25,"bc",4065189.125,3716860.375,NA,NA,NA,4577078,5174724,"BC"
"2",2021-09-26,"bc",4070937.25,3724327.27199067,5748.125,7466.89699066663,13215.0219906666,4577078,5174724,"BC"
"3",2021-09-27,"bc",4076649.41377125,3731790.58219154,5712.16377125168,7463.31020086911,13175.4739721208,4577078,5174724,"BC"
"4",2021-09-28,"bc",4082316.89057364,3739250.11896574,5667.47680238355,7459.53677420784,13127.0135765914,4577078,5174724,"BC"
"5",2021-09-29,"bc",4087927.44421803,3746705.66138993,5610.55364439776,7455.5424241852,13066.096068583,4577078,5174724,"BC"
"6",2021-09-30,"bc",4093463.2133262,3754156.93961092,5535.76910816738,7451.27822099254,12987.0473291599,4577078,5174724,"BC"
"7",2021-10-01,"bc",4098896.77718291,3761603.60993383,5433.56385670695,7446.6703229039,12880.2341796109,4577078,5174724,"BC"
"8",2021-10-02,"bc",4104183.21309451,3769045.20896638,5286.43591160374,7441.59903255198,12728.0349441557,4577078,5174724,"BC"
"9",2021-10-03,"bc",4109242.29351065,3776481.06007553,5059.08041613409,7435.85110915592,12494.93152529,4577078,5174724,"BC"
"10",2021-10-04,"bc",4113912.78992913,3783910.05430929,4670.49641848868,7428.99423375446,12099.4906522431,4577078,5174724,"BC"
"11",2021-10-05,"bc",4117813.5543463,3791330.03193058,3900.7644171617,7419.97762129689,11320.7420384586,4577078,5174724,"BC"
"12",2021-10-06,"bc",4119871.4006633,3798735.64928696,2057.84631700302,7405.61735637998,9463.463673383,4577078,5174724,"BC"
"13",2021-10-07,"bc",4118670.72295427,3806115.56938005,-1200.67770902859,7379.92009308934,6179.24238406075,4577078,5174724,"BC"
"14",2021-10-08,"bc",4119807.65350774,3813473.33551687,1136.9305534726,7357.76613682089,8494.69669029349,4577078,5174724,"BC"
"15",2021-10-09,"bc",4118785.40649596,3820796.53693073,-1022.24701177981,7323.20141385356,6300.95440207375,4577078,5174724,"BC"
"16",2021-10-10,"bc",4119766.04466256,3828087.88381831,980.63816659525,7291.34688758058,8271.98505417584,4577078,5174724,"BC"
"17",2021-10-11,"bc",4118855.61317159,3835329.66536989,-910.431490968447,7241.78155158553,6331.35006061709,4577078,5174724,"BC"
"18",2021-10-12,"bc",4119735.58905635,3842522.90514725,879.975884763058,7193.23977736011,8073.21566212317,4577078,5174724,"BC"
